epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.15469710528850555,0.43368828296661377,0.2151128649711609,0.5137167572975159,0.0010000000474974513
2,0.12402180582284927,0.3788626492023468,0.19473238289356232,0.4814804494380951,0.0010000000474974513
3,0.11445021629333496,0.3658960461616516,0.19377559423446655,0.480890691280365,0.0010000000474974513
4,0.1075807735323906,0.3551439344882965,0.1940813660621643,0.4818452298641205,0.0010000000474974513
5,0.10215160995721817,0.34800440073013306,0.19835083186626434,0.49001386761665344,0.0010000000474974513
6,0.09720772504806519,0.3398132920265198,0.20209600031375885,0.4940899610519409,0.0010000000474974513
7,0.09480433911085129,0.3367595970630646,0.20299725234508514,0.4965623617172241,0.0010000000474974513
8,0.09232427924871445,0.33279573917388916,0.1986967921257019,0.4899481534957886,0.0010000000474974513
9,0.09199871867895126,0.3325039744377136,0.1989852637052536,0.4899902939796448,0.0005000000237487257
10,0.0876774936914444,0.3231799900531769,0.20169465243816376,0.49422433972358704,0.0005000000237487257
11,0.08781498670578003,0.3239993155002594,0.20300835371017456,0.4968826472759247,0.0005000000237487257
12,0.0882195308804512,0.32559314370155334,0.20464354753494263,0.49913227558135986,0.0005000000237487257
13,0.08695212751626968,0.3212740421295166,0.20088598132133484,0.49580812454223633,0.0005000000237487257
14,0.08416038751602173,0.31602972745895386,0.20393596589565277,0.4994926452636719,0.0002500000118743628
15,0.08390197157859802,0.3184799253940582,0.20499597489833832,0.5013329982757568,0.0002500000118743628
16,0.08313694596290588,0.3149396479129791,0.2046717405319214,0.5018071532249451,0.0002500000118743628
17,0.08302024751901627,0.316657155752182,0.20673121511936188,0.5051153898239136,0.0002500000118743628
18,0.0824659913778305,0.3142273426055908,0.20632249116897583,0.5048663020133972,0.0002500000118743628
