,Rainfall,SPI-3,Soil Water,NDVI,LST,Surface Water,Groundwater Depth
Rainfall,1.0,0.24451130941864102,0.31805956560408755,0.498950623661509,-0.25587205872714,-0.018191420203832485,-0.5123052634920886
SPI-3,0.24451130941864102,1.0,0.21573979358981923,0.11266230029929866,-0.06545961185929773,0.12125068419401862,-0.1576074422723241
Soil Water,0.31805956560408755,0.21573979358981923,1.0,0.7501609144631772,-0.6729415267996328,-0.029213960620423526,-0.7668431048189601
NDVI,0.498950623661509,0.11266230029929866,0.7501609144631772,1.0,-0.8112802600421303,-0.21893931836370098,-0.7548694200174544
LST,-0.25587205872714,-0.06545961185929773,-0.6729415267996328,-0.8112802600421303,1.0,0.1660727938613549,0.6819182379748973
Surface Water,-0.018191420203832485,0.12125068419401862,-0.029213960620423526,-0.21893931836370098,0.1660727938613549,1.0,0.15032088549472353
Groundwater Depth,-0.5123052634920886,-0.1576074422723241,-0.7668431048189601,-0.7548694200174544,0.6819182379748973,0.15032088549472353,1.0
