district,date,year,month,split,spi_stress_z,soil_stress_z,ndvi_stress_z,lst_stress_z,groundwater_stress_z,surface_water_stress_z,groundwater_stale_flag,months_since_last_gw_obs,ndvi_imputed,lst_imputed,wsi,wsi_category
Beed,2003-01-01,2003,1,train,0.5963254138136183,0.5779355387905349,0.8724393079312074,0.7652455344550309,-0.31857697095790266,0.7490143936027104,0,0,0,0,0.5403972029391998,Moderate Stress
Beed,2003-02-01,2003,2,train,-0.5947417866035525,0.46408591413680833,0.7112095225612606,1.2089962341360707,-0.31857697095790266,0.277721206593004,0,1,0,0,0.2914490199776147,Normal
Beed,2003-03-01,2003,3,train,-0.8608059697984267,0.4785479567679644,0.71998606725124,0.602237772824925,-0.15852059506797625,0.06852809776256404,0,0,0,0,0.14166222162338177,Normal
Beed,2003-04-01,2003,4,train,-0.26394248448636126,0.3605349944816012,0.4475409676186356,0.9780814649972779,-0.15852059506797625,-0.61758810791446,0,1,0,0,0.12435103993811956,Normal
Beed,2003-05-01,2003,5,train,0.35194380674308795,0.3312711313400595,0.685743603768453,0.7015548545465051,-0.11169678890046104,-0.251797618960621,0,0,0,0,0.2845031647561706,Normal
Beed,2003-06-01,2003,6,train,0.9103470916912106,0.26528645211627555,1.1264632220945554,1.8732812200107478,-0.11169678890046104,0.2836584173167132,0,1,0,0,0.7245566023881737,Moderate Stress
Beed,2003-07-01,2003,7,train,0.39313690814511965,-0.20038047355678887,2.261157767053702,2.1289722526626993,-0.11169678890046104,1.0160903822956078,0,2,0,0,0.9145466746166466,Moderate Stress
Beed,2003-08-01,2003,8,train,0.4014419769793415,0.10938898842678971,1.6075211277957888,0.12724463142195738,-0.11169678890046104,1.0009853617815407,0,3,0,0,0.5224808829174928,Moderate Stress
Beed,2003-09-01,2003,9,train,0.45466705786118566,1.173623542439949,1.4573725653810983,1.1555266379519522,1.9854694527177421,1.0598098430792786,0,0,0,0,1.2144115165718679,Moderate Stress
Beed,2003-10-01,2003,10,train,1.526294222337555,1.5934340635150144,0.8372516914702232,1.5056244816984998,2.037696005750741,1.5951240481780775,0,0,0,0,1.515904085491685,Severe Stress
Beed,2003-11-01,2003,11,train,1.742235767448316,1.580643694689061,1.0518532825061837,1.695105402031141,2.037696005750741,1.5866929725651138,0,1,0,0,1.6157045208317593,Severe Stress
Beed,2003-12-01,2003,12,train,1.8505065740204,1.3864073943067907,1.329165537022638,1.2765138183434022,2.037696005750741,1.2543746417457313,0,2,0,0,1.5224439951982838,Severe Stress
Beed,2004-01-01,2004,1,train,1.19953635844839,1.100172122323084,1.4940582010029841,0.8526785090245076,1.352897840550809,0.5598470592305383,0,0,0,0,1.0931983484300523,Moderate Stress
Beed,2004-02-01,2004,2,train,0.9522646960742647,0.9611024422319349,1.1041249848399162,1.6950575653607949,1.352897840550809,-0.047013095929671,0,1,0,0,1.0030724055213414,Moderate Stress
Beed,2004-03-01,2004,3,train,1.1209078139536133,0.9712919901359304,1.0455569391047432,2.024917794764258,1.1280085022750923,-0.510438592285597,0,0,0,0,0.9633740746580065,Moderate Stress
Beed,2004-04-01,2004,4,train,-0.2359111595392965,0.8478556073452402,0.8772941940150581,1.1676239884822783,1.1280085022750923,-0.27547948602114636,0,1,0,0,0.5848986077595376,Moderate Stress
Beed,2004-05-01,2004,5,train,-1.327165586301587,0.6645357569045793,0.12963705599795702,-1.2199267703620034,0.4961122334663434,-1.1312100222071955,0,0,0,0,-0.3980028887503176,Normal
Beed,2004-06-01,2004,6,train,-0.22990294245988258,0.7531884329584878,-0.46595799574396984,-1.720750645062826,0.4961122334663434,-1.192922343890122,0,1,0,0,-0.3933722101219949,Normal
Beed,2004-07-01,2004,7,train,0.07644794428322044,1.7247314972959753,1.0209282546174767,0.9001503729277067,0.4961122334663434,0.26999928687272057,0,2,0,0,0.7480615982439072,Moderate Stress
Beed,2004-08-01,2004,8,train,1.7615986328491338,0.7323167219612844,1.0636046351787,-0.6807504002978728,0.4961122334663434,1.2213555554315971,0,3,0,0,0.7657062297648644,Moderate Stress
Beed,2004-09-01,2004,9,train,0.9098468458144556,1.493895901594891,0.265267130159055,0.05429699278736766,1.1412902549860695,1.282484793380541,0,0,0,0,0.85784698645373,Moderate Stress
Beed,2004-10-01,2004,10,train,1.4929954082621808,0.8048099139566969,-0.19823145647430462,-0.39388197285850307,0.5857077856522643,1.6307000354608165,0,0,0,0,0.6536832856665252,Moderate Stress
Beed,2004-11-01,2004,11,train,0.2972303682842844,0.8095809652188052,-0.7725763200837897,-0.6184963839483015,0.5857077856522643,1.404203522849005,0,1,0,0,0.2842749896620446,Normal
