district,date,year,month,split,is_train,is_val,is_test,is_forecast_origin_train,is_forecast_origin_val,is_forecast_origin_test,rainfall_mm,rainfall_3m_mm,spi_3,spi_stress,spi_stress_z,soil_water_layer_1,soil_water_layer_2,soil_water_layer_3,soil_water_layer_4,soil_water_storage_mm,soil_water_climatology_mm,soil_water_anomaly_mm,soil_stress_z,ndvi_raw,ndvi,ndvi_artifact_masked,ndvi_imputed,ndvi_climatology,ndvi_anomaly,ndvi_stress_z,lst_raw,lst_celsius,lst_imputed,lst_climatology_celsius,lst_anomaly_celsius,lst_stress_z,groundwater_depth_m_bgl_raw,groundwater_n_wells,groundwater_is_qualifying,groundwater_low_sample_flag,groundwater_as_of_depth_m_bgl,groundwater_climatology_m_bgl,groundwater_anomaly_m_bgl,groundwater_stress_z,months_since_last_gw_obs,last_gw_obs_date,groundwater_stale_flag,surface_water_frequency_raw,surface_water_frequency,valid_pixels,surface_water_climatology,surface_water_anomaly,surface_water_stress_z,wsi,wsi_category
Beed,2003-01-01,2003,1,train,1,0,0,1,0,0,10.428898627579876,20.15488364577749,-0.4566564359066344,0.4566564359066344,0.5963254138136183,0.1633142527281842,0.2391040097619588,0.2801670722589071,0.3658390491917915,954.7999347398834,988.9688328497558,-34.16889810987243,0.5779355387905349,0.326748884253294,0.326748884253294,0,0,0.3699871446686383,-0.04323826041534429,0.8724393079312074,34.649981990574176,34.649981990574176,0,33.18980368464189,1.4601783059322884,0.7652455344550309,6.525,120,1,0,6.525,6.986666666666666,-0.461666666666666,-0.31857697095790266,0,2003-01-01,0,0.2652473202402362,0.2652473202402362,209627,0.3257093154348756,-0.060461995194639406,0.7490143936027104,0.5403972029391998,Moderate Stress
Beed,2003-02-01,2003,2,train,1,0,0,1,0,0,1.1552981943541731,17.21037698938713,0.5633868051346426,-0.5633868051346426,-0.5947417866035525,0.1648641004592241,0.2366239904615346,0.2716177782524572,0.3608859027424879,938.8706815541392,966.3085240989197,-27.43784254478055,0.46408591413680833,0.266833206661765,0.266833206661765,0,0,0.30208088780911796,-0.03524768114735294,0.7112095225612606,41.27477786982652,41.27477786982652,0,38.967871140476554,2.3069067293499685,1.2089962341360707,4.25,2,0,1,6.525,6.986666666666666,-0.461666666666666,-0.31857697095790266,1,2003-01-01,0,0.2998850338935347,0.2998850338935347,209627,0.32230326564167144,-0.02241823174813673,0.277721206593004,0.2914490199776147,Normal
Beed,2003-03-01,2003,3,train,1,0,0,1,0,0,0.8309214924209863,12.415118314354922,0.7912471405179383,-0.7912471405179383,-0.8608059697984267,0.1627493355469115,0.2345629412161795,0.2647095403018246,0.3552848729177691,922.7299499755788,951.0228222390002,-28.292872263421373,0.4785479567679644,0.2276041709884132,0.2276041709884132,0,0,0.26328681938380555,-0.03568264839539234,0.71998606725124,46.22631342044545,46.22631342044545,0,45.077173057910464,1.149140362534986,0.602237772824925,8.495000000000001,126,1,0,8.495000000000001,8.719666666666665,-0.22466666666666413,-0.15852059506797625,0,2003-03-01,0,0.3854083681968449,0.3854083681968449,209627,0.39094009836519145,-0.005531730168346571,0.06852809776256404,0.14166222162338177,Normal
Beed,2003-04-01,2003,4,train,1,0,0,1,0,0,9.631431793624724,11.61765148039977,0.28008659155506643,-0.28008659155506643,-0.26394248448636126,0.1745145472530204,0.2334594192775103,0.2596950610355505,0.349138520036079,908.0947431697743,929.4104136289155,-21.315670459141188,0.3605349944816012,0.2175420633795453,0.2175420633795453,0,0,0.23972228007601212,-0.02218021669646683,0.4475409676186356,50.23091758181865,50.23091758181865,0,48.36462333726541,1.866294244553245,0.9780814649972779,,0,0,0,8.495000000000001,8.719666666666665,-0.22466666666666413,-0.15852059506797625,1,2003-03-01,0,0.4420232126586746,0.4420232126586746,209627,0.3921702198031106,0.04985299285556399,-0.61758810791446,0.12435103993811956,Normal
Beed,2003-05-01,2003,5,train,1,0,0,1,0,0,10.478283740100522,20.94063702614612,-0.24736530066272086,0.24736530066272086,0.35194380674308795,0.1611422520855012,0.2316756449700381,0.2562466540151871,0.3428324142267443,892.3826968691745,911.9682194296813,-19.585522560506774,0.3312711313400595,0.1908355659297768,0.1908355659297768,0,0,0.22482115122877733,-0.03398558529900053,0.685743603768453,48.86857229161587,48.86857229161587,0,47.52992327910015,1.3386490125157167,0.7015548545465051,10.1,126,1,0,10.1,10.255333333333333,-0.1553333333333331,-0.11169678890046104,0,2003-05-01,0,0.4442843717650875,0.4442843717650875,209627,0.4239587457722526,0.020325625992834884,-0.251797618960621,0.2845031647561706,Normal
Beed,2003-06-01,2003,6,train,1,0,0,1,0,0,90.4708327091381,110.58054824286323,-0.7255881048731619,0.7255881048731619,0.9103470916912106,0.3163944168434119,0.316386570471191,0.2619452887822905,0.3379281594958691,915.8736183484308,931.5579726472861,-15.684354298855283,0.26528645211627555,0.2100568666286233,0.2100568666286233,0,0,0.26588460123715235,-0.05582773460852905,1.1264632220945554,46.284051975254094,46.284051975254094,0,42.70961151763284,3.5744404576212574,1.8732812200107478,7.5,1,0,1,10.1,10.255333333333333,-0.1553333333333331,-0.11169678890046104,1,2003-05-01,0,0.4046806947578317,0.4046806947578317,209627,0.42757819046846696,-0.022897495710635263,0.2836584173167132,0.7245566023881737,Moderate Stress
Beed,2003-07-01,2003,7,train,1,0,0,1,0,0,226.1874295840915,327.13654603333,-0.28264353235943235,0.28264353235943235,0.39313690814511965,0.4409773060360444,0.4395141577361073,0.3602940143464782,0.3370399799411559,1019.5836369653548,1007.736675626901,11.846961338453752,-0.20038047355678887,0.351843479302753,0.351843479302753,0,0,0.463906894468998,-0.11206341516624502,2.261157767053702,40.35256854768542,40.35256854768542,0,36.29023958619241,4.062328961493009,2.1289722526626993,9.1,2,0,1,10.1,10.255333333333333,-0.1553333333333331,-0.11169678890046104,2,2003-05-01,0,0.2320454903232885,0.2320454903232885,209627,0.3140664132005896,-0.08202092287730109,1.0160903822956078,0.9145466746166466,Moderate Stress
Beed,2003-08-01,2003,8,train,1,0,0,1,0,0,161.45291367228,478.11117596550946,-0.2897560859817329,0.2897560859817329,0.4014419769793415,0.4205999469624683,0.4273729376460641,0.4262045134593145,0.3477331719340646,1083.2732578391349,1089.7405901781688,-6.467332339033874,0.10938898842678971,0.5349315812018638,0.5349315812018638,0,0,0.614600638424447,-0.07966905722258322,1.6075211277957888,34.45768789419884,34.45768789419884,0,34.214890201193015,0.24279769300582643,0.12724463142195738,,0,0,0,10.1,10.255333333333333,-0.1553333333333331,-0.11169678890046104,3,2003-05-01,0,0.1957572259298659,0.1957572259298659,209627,0.27655884022573424,-0.08080161429586832,1.0009853617815407,0.5224808829174928,Moderate Stress
Beed,2003-09-01,2003,9,train,1,0,0,1,0,0,106.84346623603258,494.48380949240396,-0.33533863916461354,0.33533863916461354,0.45466705786118566,0.3488649024834217,0.3768595045895794,0.4057939023103961,0.3587328980158731,1073.7378260511366,1143.1251894323534,-69.3873633812168,1.173623542439949,0.5246035927674206,0.5246035927674206,0,0,0.5968312582695062,-0.07222766550208559,1.4573725653810983,35.682440339661724,35.682440339661724,0,33.47755987620903,2.204880463452696,1.1555266379519522,7.45,63,1,0,7.45,4.5,2.95,1.9854694527177421,0,2003-09-01,0,0.1820376191998168,0.1820376191998168,209627,0.26758766761915204,-0.08555004841933522,1.0598098430792786,1.2144115165718679,Moderate Stress
Beed,2003-10-01,2003,10,train,1,0,0,1,0,0,24.05473310529479,292.3511130136073,-1.253092100646459,1.253092100646459,1.526294222337555,0.2633376373140165,0.3354916582397746,0.3792457138000209,0.3593231238275792,1041.0645008124736,1135.2720421500167,-94.20754133754303,1.5934340635150144,0.4869478229874613,0.4869478229874613,0,0,0.5284421783424719,-0.04149435535501056,0.8372516914702232,38.2152650783659,38.2152650783659,0,35.3423568337953,2.8729082445706027,1.5056244816984998,6.85,124,1,0,6.85,3.822666666666667,3.0273333333333325,2.037696005750741,0,2003-10-01,0,0.172096151736179,0.172096151736179,209627,0.3008578729521165,-0.1287617212159375,1.5951240481780775,1.515904085491685,Severe Stress
Beed,2003-11-01,2003,11,train,1,0,0,1,0,0,6.632827261964909,137.53102660329216,-1.438026849477669,1.438026849477669,1.742235767448316,0.1766308915159403,0.2576825136357871,0.3264860125266963,0.356579648715273,975.4829553607184,1068.9343002371193,-93.45134487640087,1.580643694689061,0.4346837430261446,0.4346837430261446,0,0,0.4868137946346437,-0.052130051608499095,1.0518532825061837,37.25906263243024,37.25906263243024,0,34.02460255018072,3.2344600822495266,1.695105402031141,,0,0,0,6.85,3.822666666666667,3.0273333333333325,2.037696005750741,1,2003-10-01,0,0.1858109880883665,0.1858109880883665,209627,0.3138921353960447,-0.12808114730767822,1.5866929725651138,1.6157045208317593,Severe Stress
Beed,2003-12-01,2003,12,train,1,0,0,1,0,0,4.510817781081005,35.19837814834059,-1.5307511763731285,1.5307511763731285,1.8505065740204,0.1642779711657466,0.2437644887799642,0.2957693709336723,0.3527245073913606,942.2932666673104,1024.2609080654834,-81.96764139817299,1.3864073943067907,0.3783443865550151,0.3783443865550151,0,0,0.44421808699747317,-0.06587370044245805,1.329165537022638,34.82032882932953,34.82032882932953,0,32.38459062395049,2.435738205379046,1.2765138183434022,8.1,3,0,1,6.85,3.822666666666667,3.0273333333333325,2.037696005750741,2,2003-10-01,0,0.2350937617768703,0.2350937617768703,209627,0.3363494842426468,-0.10125572246577652,1.2543746417457313,1.5224439951982838,Severe Stress
