epoch,loss,val_loss,mae,val_mae,learning_rate
1,0.19203269481658936,0.3147282302379608,0.4996999204158783,0.6677150726318359,0.0010000000474974513
2,0.15396927297115326,0.2658303678035736,0.4390524923801422,0.5920059680938721,0.0010000000474974513
3,0.138043612241745,0.2378101646900177,0.41224873065948486,0.5486095547676086,0.0010000000474974513
4,0.12746623158454895,0.22438806295394897,0.3950369358062744,0.5270445942878723,0.0010000000474974513
5,0.119621641933918,0.21882207691669464,0.3811522424221039,0.5188299417495728,0.0010000000474974513
6,0.114317387342453,0.21831612288951874,0.3721010088920593,0.5173030495643616,0.0010000000474974513
7,0.10865689814090729,0.22320692241191864,0.36250847578048706,0.5230482816696167,0.0010000000474974513
8,0.10403777658939362,0.22555017471313477,0.3554818630218506,0.5292613506317139,0.0010000000474974513
9,0.09962399303913116,0.2305697798728943,0.3492514491081238,0.5341455936431885,0.0010000000474974513
10,0.09838081151247025,0.23226693272590637,0.34518128633499146,0.5421705842018127,0.0010000000474974513
11,0.094937264919281,0.2255445122718811,0.3394012153148651,0.530349850654602,0.0010000000474974513
12,0.09212694317102432,0.22886575758457184,0.33494600653648376,0.5375630259513855,0.0005000000237487257
13,0.09077955782413483,0.23169976472854614,0.33367854356765747,0.5408483743667603,0.0005000000237487257
14,0.09039150178432465,0.23065774142742157,0.33179524540901184,0.5409910678863525,0.0005000000237487257
15,0.08775945752859116,0.227406844496727,0.32632356882095337,0.5354299545288086,0.0005000000237487257
16,0.08619817346334457,0.23110610246658325,0.3224922716617584,0.5408496856689453,0.0005000000237487257
17,0.08734894543886185,0.23021844029426575,0.3260810673236847,0.5389233827590942,0.0002500000118743628
18,0.08601907640695572,0.2287624180316925,0.3231651484966278,0.5371158123016357,0.0002500000118743628
19,0.08423028141260147,0.2329474240541458,0.31904658675193787,0.5427390336990356,0.0002500000118743628
20,0.0857466608285904,0.2295156568288803,0.32245099544525146,0.538681149482727,0.0002500000118743628
21,0.08351368457078934,0.23215463757514954,0.3189657926559448,0.5425576567649841,0.0002500000118743628
