model,district,mae,rmse,r2,mae_h1,mae_h2,mae_h3
LSTM,Beed,0.5541,0.7328,-0.9767,0.3985,0.5679,0.6961
LSTM,Chhatrapati Sambhajinagar,0.5808,0.7361,-0.9135,0.4481,0.5845,0.7098
LSTM,Dharashiv,0.515,0.7097,-0.9441,0.3829,0.5372,0.6249
LSTM,Hingoli,0.5442,0.6882,-1.9641,0.4268,0.5331,0.6727
LSTM,Jalna,0.5922,0.7641,-0.9355,0.4425,0.5966,0.7376
LSTM,Latur,0.5491,0.7132,-1.2724,0.4096,0.5648,0.6729
LSTM,Nanded,0.5318,0.6797,-1.5677,0.4227,0.5464,0.6264
LSTM,Parbhani,0.5992,0.7784,-2.0075,0.4756,0.5894,0.7325
