seed,val_mae,val_mae_h1,val_mae_h2,val_mae_h3,val_rmse,val_rmse_h1,val_rmse_h2,val_rmse_h3
42,0.480891,0.362764,0.497729,0.582178,0.64657,0.474425,0.660706,0.769769
43,0.473123,0.343705,0.496675,0.57899,0.646672,0.451104,0.673649,0.772824
44,0.476863,0.356053,0.492138,0.582398,0.636307,0.46317,0.658912,0.752309
45,0.48909,0.366132,0.50855,0.592589,0.660465,0.479795,0.681961,0.783177
46,0.470944,0.353213,0.475371,0.584249,0.643087,0.466027,0.650315,0.774979
