epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.14335496723651886,0.4128004014492035,0.20502905547618866,0.4952450394630432,0.0010000000474974513
2,0.12494424730539322,0.37979263067245483,0.19498862326145172,0.4804507791996002,0.0010000000474974513
3,0.11591504514217377,0.3664017915725708,0.1898835003376007,0.47381237149238586,0.0010000000474974513
4,0.10705583542585373,0.35319921374320984,0.19114775955677032,0.4776996970176697,0.0010000000474974513
5,0.10074838250875473,0.34618356823921204,0.19171306490898132,0.4810067415237427,0.0010000000474974513
6,0.09616842865943909,0.3385276794433594,0.19650211930274963,0.4882262647151947,0.0010000000474974513
7,0.09365667402744293,0.3348638415336609,0.19861021637916565,0.4927946627140045,0.0010000000474974513
8,0.0914902612566948,0.3314536213874817,0.1952241212129593,0.48799699544906616,0.0010000000474974513
9,0.09153290838003159,0.3302629888057709,0.19549618661403656,0.4878271818161011,0.0005000000237487257
10,0.08800018578767776,0.32411831617355347,0.19820186495780945,0.49188148975372314,0.0005000000237487257
11,0.08738745003938675,0.3225056827068329,0.1984919011592865,0.49311521649360657,0.0005000000237487257
12,0.08767305314540863,0.32387566566467285,0.20028431713581085,0.4958440363407135,0.0005000000237487257
13,0.0867270827293396,0.3208152949810028,0.198025643825531,0.4922473132610321,0.0005000000237487257
14,0.08461479097604752,0.31657031178474426,0.20019708573818207,0.4955138564109802,0.0002500000118743628
15,0.08446293324232101,0.3174769878387451,0.20027653872966766,0.4959779381752014,0.0002500000118743628
16,0.08339370042085648,0.3155067265033722,0.2016056329011917,0.49789348244667053,0.0002500000118743628
17,0.08376790583133698,0.31657135486602783,0.20127472281455994,0.4978700280189514,0.0002500000118743628
18,0.08346561342477798,0.3145090341567993,0.2001958191394806,0.49735772609710693,0.0002500000118743628
